Wall time,Step,Value
1707637526.133891,0,0.37091222405433655
1707637526.250045,1,0.5972461104393005
1707637526.358443,2,0.6153184175491333
1707637526.491841,3,0.693631649017334
1707637526.629838,4,0.6841652393341064
1707637526.771886,5,0.6841652393341064
1707637526.898801,6,0.7220309972763062
1707637527.027384,7,0.6609294414520264
1707637527.155477,8,0.6927710771560669
1707637527.291575,9,0.7289156913757324
1707637527.426431,10,0.7177280783653259
1707637527.561155,11,0.7228915691375732
1707637527.701226,12,0.7358003258705139
1707637527.822882,13,0.73838210105896
1707637527.938187,14,0.7340791821479797
1707637528.066405,15,0.7444062232971191
1707637528.198648,16,0.7478485107421875
1707637528.287593,17,0.7452667951583862
1707637528.369287,18,0.7444062232971191
1707637528.461458,19,0.73838210105896
1707637528.558333,20,0.7332186102867126
1707637528.656705,21,0.7512908577919006
1707637528.750494,22,0.7581755518913269
1707637528.899371,23,0.7452667951583862
1707637529.019286,24,0.740963876247406
1707637529.170776,25,0.7753872871398926
1707637529.320902,26,0.759036123752594
1707637529.435741,27,0.7581755518913269
1707637529.569404,28,0.7573149800300598
1707637529.715878,29,0.73838210105896
1707637529.869126,30,0.7693631649017334
1707637529.992665,31,0.7728055119514465
1707637530.138536,32,0.7857142686843872
1707637530.279041,33,0.7762478590011597
1707637530.417128,34,0.7641996741294861
1707637530.538717,35,0.80378657579422
1707637530.669683,36,0.7573149800300598
1707637530.805823,37,0.7900171875953674
1707637530.961293,38,0.8055077195167542
1707637531.106612,39,0.8055077195167542
1707637531.247624,40,0.7874354720115662
1707637531.371964,41,0.7917383909225464
1707637531.493021,42,0.7676420211791992
1707637531.604343,43,0.7771084308624268
1707637531.728288,44,0.7900171875953674
1707637531.872785,45,0.7977624535560608
1707637531.991051,46,0.7891566157341003
1707637532.117682,47,0.7788295745849609
1707637532.253921,48,0.8115318417549133
1707637532.404771,49,0.8072289228439331
1707637532.523943,50,0.7917383909225464
1707637532.642204,51,0.7891566157341003
1707637532.768679,52,0.8218588829040527
1707637532.882472,53,0.8132529854774475
1707637533.000208,54,0.7977624535560608
1707637533.112415,55,0.7969018816947937
1707637533.234353,56,0.8175559639930725
1707637533.363704,57,0.8098106980323792
1707637533.486311,58,0.806368350982666
1707637533.607714,59,0.8321858644485474
1707637533.741662,60,0.8106712698936462
1707637533.855812,61,0.8253012299537659
1707637533.978194,62,0.8098106980323792
1707637534.10071,63,0.8089500665664673
1707637534.228389,64,0.8278829455375671
1707637534.338396,65,0.8106712698936462
1707637534.479748,66,0.8029260039329529
1707637534.590111,67,0.7969018816947937
1707637534.712331,68,0.7779690027236938
1707637534.835004,69,0.8055077195167542
1707637534.940514,70,0.8253012299537659
1707637535.060376,71,0.8072289228439331
1707637535.173539,72,0.7710843086242676
1707637535.291104,73,0.8132529854774475
1707637535.405882,74,0.8382099866867065
1707637535.525837,75,0.8347676396369934
1707637535.64866,76,0.8218588829040527
1707637535.767141,77,0.8287435173988342
1707637535.885495,78,0.8080894947052002
1707637535.999397,79,0.7917383909225464
1707637536.124641,80,0.8459552526473999
1707637536.24031,81,0.8235800266265869
1707637536.377543,82,0.8184165358543396
1707637536.490628,83,0.8270223736763
1707637536.605497,84,0.824440598487854
1707637536.727639,85,0.8373494148254395
1707637536.841397,86,0.8020654320716858
1707637536.954086,87,0.8089500665664673
1707637537.074098,88,0.8339070677757263
1707637537.206666,89,0.8235800266265869
1707637537.328153,90,0.8020654320716858
1707637537.45858,91,0.8253012299537659
1707637537.588481,92,0.7444062232971191
1707637537.728218,93,0.8141136169433594
1707637537.868862,94,0.8339070677757263
1707637538.000008,95,0.846815824508667
1707637538.10744,96,0.8089500665664673
1707637538.245205,97,0.7891566157341003
1707637538.408029,98,0.824440598487854
1707637538.54048,99,0.8330464959144592
1707637538.665205,100,0.8425129055976868
1707637538.771253,101,0.8442341089248657
1707637538.929401,102,0.8364887833595276
1707637539.05949,103,0.8390705585479736
1707637539.169643,104,0.8218588829040527
1707637539.299862,105,0.8442341089248657
1707637539.4195,106,0.8562822937965393
1707637539.583253,107,0.8356282114982605
1707637539.704511,108,0.8339070677757263
1707637539.822269,109,0.8253012299537659
1707637539.95253,110,0.8235800266265869
1707637540.099875,111,0.8425129055976868
1707637540.232784,112,0.8080894947052002
1707637540.353758,113,0.7917383909225464
1707637540.503115,114,0.8442341089248657
1707637540.638412,115,0.846815824508667
1707637540.789491,116,0.8442341089248657
1707637540.905485,117,0.8502581715583801
1707637541.024403,118,0.8537005186080933
1707637541.155333,119,0.8502581715583801
1707637541.281768,120,0.8666092753410339
1707637541.428539,121,0.8175559639930725
1707637541.569745,122,0.8296041488647461
1707637541.689404,123,0.849397599697113
1707637541.806098,124,0.849397599697113
1707637541.940761,125,0.846815824508667
1707637542.068425,126,0.8321858644485474
1707637542.202327,127,0.849397599697113
1707637542.34859,128,0.8537005186080933
1707637542.500125,129,0.871772825717926
1707637542.639782,130,0.8562822937965393
1707637542.786318,131,0.8674699068069458
1707637542.909968,132,0.8580034375190735
1707637543.028207,133,0.848537027835846
1707637543.162806,134,0.7805507779121399
1707637543.28273,135,0.8511187434196472
1707637543.447829,136,0.8597246408462524
1707637543.571604,137,0.826161801815033
1707637543.69185,138,0.8537005186080933
1707637543.846845,139,0.848537027835846
1707637544.003914,140,0.8683304786682129
1707637544.1312,141,0.846815824508667
1707637544.258063,142,0.8321858644485474
1707637544.371525,143,0.8614457845687866
1707637544.511268,144,0.8347676396369934
